source_row_index,district_number,district_marker_raw,district_number_source,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
24,5,5,marker,شهران شمالی,9,90,15000000.0,,,800000000,99015800,۵شهران شمالی99015800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
25,5,5,marker,آبشار - حاجی زاده,,,,,,,77711900,۵آبشار - حاجی زاده77711900,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
26,5,5,marker,یوسف آباد - اسدآبادی,5,85,45000000.0,,,500000000,58545500,۵یوسف آباد - اسدآبادی58545500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
27,6,6,sibling_table_name_match,امیرآباد - دیبستان,6,100,23000000.0,,,1200000000,6100231200,۶امیرآباد - دیبستان6100231200,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
28,6,6,marker,کشاورز - دائمی,6,85,35000000.0,,,500000000,68535500,۶کشاورز - دائمی68535500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
29,6,6,marker,سنایی - نظری,,,,,,,98322700,۶سنایی - نظری98322700,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
30,6,6,marker,ایرانشهر - رامسر,9,90,25000000.0,,,800000000,99025800,۶ایرانشهر - رامسر99025800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
31,6,7,sibling_table_name_match,شهرداری شمالی - موزه,10,80,20000000.0,,,800000000,108020800,۷شهرداری شمالی - موزه108020800,False,source_ambiguity,district_marker_disagrees_with_sibling_table:7_vs_6,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
32,7,7,sibling_table_name_match,بهار - هفت تیر,10,85,35000000.0,,,300000000,108535300,۷بهار - هفت تیر108535300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
33,7,7,sibling_table_name_match,خواجه نظام الملک,6,76,30000000.0,,,500000000,67630500,۷خواجه نظام الملک67630500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
34,7,7,sibling_table_name_match,ارامنه - سلطانی,6,85,23000000.0,,,400000000,68523400,۷ارامنه - سلطانی68523400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
35,7,7,sibling_table_name_match,پلیس - ادبی,8,75,14000000.0,,,300000000,87514300,۷پلیس - ادبی87514300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
36,8,8,sibling_table_name_match,هفت حوض - پنجاه و چهارم,8,83,15000000.0,,,1000000000,883151000,۸هفت حوض - پنجاه و چهارم883151000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
37,8,8,sibling_table_name_match,درشت - حمزه لویی,7,90,25000000.0,,,500000000,79025500,۸درشت - حمزه لویی79025500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
38,8,8,sibling_table_name_match,سبلان - جعفری,10,70,15000000.0,,,400000000,107015400,۸سبلان - جعفری107015400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
39,8,8,marker,تسلیحات - واضحانی,7,70,13000000.0,,,500000000,77013500,۸تسلیحات - واضحانی77013500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
