source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,deposit_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
25,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - هفت آسیاب,,130,,,,,-,یک میلیارد و ۱۱۰۰ میلیون,| **22** | شهرک راه آهن - هفت آسیاب | 130 | - | یک میلیارد و ۱۱۰۰ میلیون |,True,rent_not_listed_in_source;amount_ambiguous_doubled_digit,rent_not_listed_in_source:-;deposit_amount_ambiguous_doubled_digit:1100 میلیون,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
26,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - ورزش شرقی,,75,,,,850000000.0,-,850 میلیون,| **22** | شهرک راه آهن - ورزش شرقی | 75 | - | 850 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
27,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - شهید باقری,,75,,,,350000000.0,-,350 میلیون,| **22** | شهرک راه آهن - شهید باقری | 75 | - | 350 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
28,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - شهدای اسلام آباد,,185,15000000.0,,,850000000.0,15 میلیون,850 میلیون,| **22** | شهرک راه آهن - شهدای اسلام آباد | 185 | 15 میلیون | 850 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
29,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - شهدای اسلام آباد,,173,3000000.0,,,1000000000.0,سه میلیون,یک میلیارد,| **22** | شهرک راه آهن - شهدای اسلام آباد | 173 | سه میلیون | یک میلیارد |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
30,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک گلستان - هاشم زاده,,180,16000000.0,,,700000000.0,16 میلیون,700 میلیون,| **22** | شهرک گلستان - هاشم زاده | 180 | 16 میلیون | 700 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
31,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک گلستان,,172,,,,1000000000.0,-,یک میلیارد,| **22** | شهرک گلستان | 172 | - | یک میلیارد |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
32,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,مروارید شهر,,160,15000000.0,,,700000000.0,15 میلیون,700 میلیون,| **22** | مروارید شهر | 160 | 15 میلیون | 700 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
33,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,میدان ساحل,,140,,,,750000000.0,-,750 میلیون,| **22** | میدان ساحل | 140 | - | 750 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
34,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,میدان ساحل,,120,12000000.0,,,650000000.0,12 میلیون,650 میلیون,| **22** | میدان ساحل | 120 | 12 میلیون | 650 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
35,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - اردستانی,,120,,,,700000000.0,-,700 میلیون,| **22** | همت غرب - اردستانی | 120 | - | 700 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
36,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - دریاچه,,158,,,,2000000000.0,-,دو میلیارد,| **22** | همت غرب - دریاچه | 158 | - | دو میلیارد |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
37,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - دریاچه,,140,,,,850000000.0,-,850 میلیون,| **22** | همت غرب - دریاچه | 140 | - | 850 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
38,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - دریاچه,,133,,,,,-,یک میلیارد و ۱۱۰۰ میلیون,| **22** | همت غرب - دریاچه | 133 | - | یک میلیارد و ۱۱۰۰ میلیون |,True,rent_not_listed_in_source;amount_ambiguous_doubled_digit,rent_not_listed_in_source:-;deposit_amount_ambiguous_doubled_digit:1100 میلیون,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
39,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - دریاچه,,120,16000000.0,,,800000000.0,16 میلیون,800 میلیون,| **22** | همت غرب - دریاچه | 120 | 16 میلیون | 800 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
40,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - شهرک دریاچه,,160,10000000.0,,,700000000.0,10 میلیون,700 میلیون,| **22** | همت غرب - شهرک دریاچه | 160 | 10 میلیون | 700 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
41,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - شهرک دریاچه,,143,,,,820000000.0,-,820 میلیون,| **22** | همت غرب - شهرک دریاچه | 143 | - | 820 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
42,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - شهرک خرازی,,120,,,,900000000.0,-,900 میلیون,| **22** | همت غرب - شهرک خرازی | 120 | - | 900 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
43,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,همت غرب - شهرک خرازی,,110,,,,600000000.0,-,600 میلیون,| **22** | همت غرب - شهرک خرازی | 110 | - | 600 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
