district_number,area_name_fa,price_1401_toman,price_1402_toman,price_1403_toman,price_1404_toman,price_1405_toman,change_1402_vs_1401_pct,change_1403_vs_1402_pct,change_1404_vs_1403_pct,change_1405_vs_1404_pct,cumulative_1401_to_1405_pct,endpoint_1400_06_to_1405_05_pct,endpoint_minus_cumulative_pp,median_sample_size,modeled_months_total,confidence,notes
12,منطقه 12,22111111.11,35500000.0,52589285.715,55555555.56,73934162.99000001,60.55276382716346,48.13883300000001,5.640445206035438,33.08149337135349,234.37561152936567,523.52941175,289.15380022063437,2572.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
13,منطقه 13,27284482.759999998,39574987.555,70211267.60499999,78416897.965,106212121.21000001,45.04576796675914,77.41323988396131,11.687056280145637,35.4454511289211,289.27665275630835,605.921052512687,316.6443997563786,4286.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
14,منطقه 14,23185963.2,40991071.43,60208333.335,69848484.85,90372480.62,76.79261834591371,46.88157990165518,16.011324315127705,29.383594811076286,289.77238012695545,658.3333332827777,368.5609531558223,5519.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
15,منطقه 15,18161787.965,35178049.425,48051459.535,55430556.08,67895299.145,93.69265566139428,36.595008308934965,15.356654337679743,22.487133354769682,273.8359861696579,597.4664681131756,323.6304819435177,6616.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
16,منطقه 16,19840291.75,35921052.629999995,52833333.335,60155122.655,70238095.235,81.05103031057996,47.08180709291205,13.858276315020234,16.761619185497434,254.01745155788848,570.7779350623471,316.7604835044586,2451.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
17,منطقه 17,18011363.64,32571428.57,48230769.230000004,52215836.769999996,66147540.985,80.83821536790647,48.07692308105602,8.262500481790447,26.68099388384082,267.2544861517215,575.8142338293882,308.5597476776667,4053.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
18,منطقه 18,17250000.0,41643442.625,50000000.0,52000000.0,64549961.865,141.41126159420293,20.066922541085177,4.0000000000000036,24.134542048076923,274.20267747826085,595.527727912772,321.3250504345111,4754.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
19,منطقه 19,19045988.259999998,30192307.689999998,50881701.635000005,60726030.555,72917068.465,58.52318754920833,68.52538122434592,19.347483680122004,20.075473069095963,282.84738743716946,630.7692305647338,347.92184312756433,1840.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
20,منطقه 20,17500000.0,31981302.69,51192959.585,58959863.695,72827868.85,82.75030108571428,60.0715270457296,15.171820838183713,23.521094327387402,316.1592505714285,687.5000001496251,371.34074957819655,2185.5,8,CALCULATED from OBSERVED Kilid listing prices (nominal toman),8_modeled_months_in_series
21,منطقه 21,25358312.86,32750000.0,52301587.3,64253600.105000004,74556197.47999999,29.14897052027301,59.69950320610686,22.852103391133618,16.034272567084184,194.01087482284493,357.80013941331595,163.78926459047102,2554.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
