district_number,area_name_fa,year_window,window_start,window_end,months_present,price_psm_median_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size_median,sample_size_min,trust_direct_months,trust_modeled_months,confidence,notes
8,منطقه 8,1403 (1402-06..1403-05),1402-06,1403-05,12,79915966.38499999,67708333.33500001,97490823.295,5250000000.0,7120.5,5591,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
8,منطقه 8,1404 (1403-06..1404-05),1403-06,1404-05,12,88432432.85,72138301.37,109009708.84,5925000000.0,9600.0,7533,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
8,منطقه 8,1405 (1404-06..1405-05),1404-06,1405-05,12,112591836.735,91634382.57,139809738.135,7495000000.0,17885.5,9670,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
9,منطقه 9,1401 (1400-06..1401-05),1400-06,1401-05,12,23100961.54,20000000.0,28011880.740000002,1535000000.0,521.5,433,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
9,منطقه 9,1402 (1401-06..1402-05),1401-06,1402-05,12,45793699.19,39847370.114999995,51545782.65,3250000000.0,2354.0,300,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
9,منطقه 9,1403 (1402-06..1403-05),1402-06,1403-05,12,64202586.205,55480480.485,74107142.85499999,4165000000.0,5504.0,4617,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
9,منطقه 9,1404 (1403-06..1404-05),1403-06,1404-05,12,72475962.34,62371086.69,84359460.63,4949999872.0,6415.0,4507,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
9,منطقه 9,1405 (1404-06..1405-05),1404-06,1405-05,12,94321344.87,76580166.82,112647058.825,6650000000.0,10849.0,5831,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
10,منطقه 10,1401 (1400-06..1401-05),1400-06,1401-05,12,23113953.490000002,19282682.515,28085038.145,1335000000.0,1504.5,1219,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
10,منطقه 10,1402 (1401-06..1402-05),1401-06,1402-05,12,41863636.364999995,35518131.870000005,50225756.785,3050000000.0,9814.0,1409,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
10,منطقه 10,1403 (1402-06..1403-05),1402-06,1403-05,12,57650375.94,50454545.455,65814176.245000005,3190000000.0,16348.0,13983,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
10,منطقه 10,1404 (1403-06..1404-05),1403-06,1404-05,12,64322845.415,55760869.565,73928571.12,3550000000.0,21901.0,18963,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
10,منطقه 10,1405 (1404-06..1405-05),1404-06,1405-05,12,83636363.63499999,70764406.36000001,100266798.42,4850000000.0,42383.5,25592,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
11,منطقه 11,1401 (1400-06..1401-05),1400-06,1401-05,12,24331643.915,19447352.98,31876699.985,1522000000.0,1421.0,1220,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
11,منطقه 11,1402 (1401-06..1402-05),1401-06,1402-05,12,39065906.425,30081316.68,49514517.345,2575000000.0,3833.0,463,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
11,منطقه 11,1403 (1402-06..1403-05),1402-06,1403-05,12,59166666.665,48670960.19,73285714.28999999,3650000000.0,7139.0,5527,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
11,منطقه 11,1404 (1403-06..1404-05),1403-06,1404-05,12,64585650.72,52615896.9,83712119.66499999,4150000000.0,8084.0,6308,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
11,منطقه 11,1405 (1404-06..1405-05),1404-06,1405-05,12,78859308.67,64087301.585,102000000.0,5232500000.0,11695.5,7031,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
12,منطقه 12,1401 (1400-06..1401-05),1400-06,1401-05,12,22111111.11,16000000.0,34936023.365,1605000000.0,1202.5,966,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
12,منطقه 12,1402 (1401-06..1402-05),1401-06,1402-05,12,35500000.0,26467331.12,50862068.965,2522500000.0,1417.5,133,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
12,منطقه 12,1403 (1402-06..1403-05),1402-06,1403-05,12,52589285.715,40476754.385000005,75000000.0,3575000000.0,2837.0,2302,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
12,منطقه 12,1404 (1403-06..1404-05),1403-06,1404-05,12,55555555.56,44444445.295,77945869.61,3874999936.0,2666.0,1599,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
12,منطقه 12,1405 (1404-06..1405-05),1404-06,1405-05,12,73934162.99000001,54877819.55,113722529.28,5750000000.0,4297.0,2853,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
13,منطقه 13,1401 (1400-06..1401-05),1400-06,1401-05,12,27284482.759999998,22820754.715,33673684.21,1797500000.0,1151.0,920,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
13,منطقه 13,1402 (1401-06..1402-05),1401-06,1402-05,12,39574987.555,32047235.02,51305725.525,3362000000.0,2934.0,387,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
13,منطقه 13,1403 (1402-06..1403-05),1402-06,1403-05,12,70211267.60499999,59687500.0,85000000.0,4893500000.0,4211.5,3057,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
13,منطقه 13,1404 (1403-06..1404-05),1403-06,1404-05,12,78416897.965,64199175.595,95147057.32,5400000000.0,5203.0,4124,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
13,منطقه 13,1405 (1404-06..1405-05),1404-06,1405-05,12,106212121.21000001,85166666.66499999,132722739.9,7500000000.0,7819.0,4800,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
14,منطقه 14,1401 (1400-06..1401-05),1400-06,1401-05,12,23185963.2,19582776.1,27930402.93,1440000000.0,1502.0,1137,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
14,منطقه 14,1402 (1401-06..1402-05),1401-06,1402-05,12,40991071.43,33537735.55,51240796.599999994,2550000000.0,2118.5,234,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
14,منطقه 14,1403 (1402-06..1403-05),1402-06,1403-05,12,60208333.335,50000000.0,72990681.59,3649500000.0,5519.5,4334,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
14,منطقه 14,1404 (1403-06..1404-05),1403-06,1404-05,12,69848484.85,58023065.105000004,84381364.53999999,4300000256.0,7093.0,4364,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
14,منطقه 14,1405 (1404-06..1405-05),1404-06,1405-05,12,90372480.62,73492909.68,113771393.82499999,5702000000.0,10823.0,6234,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
15,منطقه 15,1401 (1400-06..1401-05),1400-06,1401-05,12,18161787.965,15504807.690000001,23953599.27,1210000000.0,1679.0,1414,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
15,منطقه 15,1402 (1401-06..1402-05),1401-06,1402-05,12,35178049.425,29199507.39,43153846.155,2450000000.0,2885.0,317,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
