rank,city_id,native_key,name_fa,province_id,province_name_fa,have_region,census_rank_1395,population_1395,stockN,sampleSize,pricePsmMedian,trust,area_id
199,242673,242673,کنگاور,242287,کرمانشاه,False,,,,,,SUPPRESSED,70c67d24-20ad-0dfc-0d4b-c287044635ab
200,242760,242760,گالیکش,242301,گلستان,False,,,,,,SUPPRESSED,1755684a-9edb-8161-c763-326f5e6560f5
201,242371,242371,آشتیان,242285,مرکزی,False,,,,,,SUPPRESSED,53e88584-6f19-22b1-bb66-bc3071859c8f
202,242641,242641,فارسان,242286,چهارمحال و بختیاری,False,,,,,,SUPPRESSED,d36647b6-7339-00ac-c91a-17ae86b6eb64
203,242585,242585,سبزوار,242302,خراسان رضوی,False,,,,,,SUPPRESSED,ed20aaff-e17f-512d-9d86-9504ca8a10e7
204,242676,242676,کوار,242297,فارس,False,,,,,,SUPPRESSED,e71fbdec-14a9-197c-533a-edbc4feee514
205,242631,242631,شوشتر,242311,خوزستان,False,,,,,,SUPPRESSED,685b03aa-7283-6c11-7fb4-8284713cc539
206,242736,242736,هرسین,242287,کرمانشاه,False,,,,,,SUPPRESSED,b1d4d321-3343-da29-f2be-533639903739
207,242668,242668,کلاردشت,242300,مازندران‎,True,,,,,,SUPPRESSED,c7090ab8-febb-c775-4d46-8c58473a4f26
208,242534,242534,دیواندره,242295,کردستان,False,,,,,,SUPPRESSED,236c5a9d-02cd-7db4-1cb6-4b86dc11d31a
209,242385,242385,استهبان,242297,فارس,False,,,,,,SUPPRESSED,1ea7ea75-ac8e-39fd-33fa-8b8dc2f83960
210,242623,242623,طالقان,242307,البرز,False,,,,,,SUPPRESSED,d6e7f548-764a-8d82-54f8-7d96eb3d8709
211,242357,242357,آرادان,242292,سمنان,False,,,,,,SUPPRESSED,daeaf6f2-8bf5-6258-d139-c9b78adf802e
212,242775,242775,اوز,242297,فارس,False,,,,,,SUPPRESSED,1c6b54c1-1f1d-9f37-35ee-39c8d6a6c846
213,242596,242596,سرپل ذهاب,242287,کرمانشاه,False,,,,,,SUPPRESSED,900f2e9c-9dd4-e409-4322-a919665e4f79
214,242620,242620,شاهین دژ,,,,,,,,,SUPPRESSED,5bef9873-57f1-785d-62e4-32ed91b43f7d
215,242706,242706,مهر,242297,فارس,False,,,,,,SUPPRESSED,70c1c825-3cf4-8db1-210c-ea265c00e3e1
216,272937,272937,کیش,242310,هرمزگان,True,,,,,,SUPPRESSED,d2212f08-641f-1f69-7c6a-93766af56075
217,242430,242430,بم,242282,کرمان,False,,,,,,SUPPRESSED,c8eaa2b3-07fc-d62e-d42f-aaa4d8a74b21
218,242616,242616,شادگان,242311,خوزستان,False,,,,,,SUPPRESSED,907ce5d2-f708-a6ec-45dc-b404d9d0ae06
219,242493,242493,کامیاران,242295,کردستان,False,,,,,,SUPPRESSED,7c56b9af-91a0-22b3-2b5a-aecc93758ee2
220,242595,242595,سروستان,242297,فارس,False,,,,,,SUPPRESSED,e91da261-ee30-5f09-f8e4-e7a53300ec08
221,242570,242570,سراوان,242304,سیستان و بلوچستان,False,,,,,,SUPPRESSED,45c80c1c-57f1-0b62-379b-58611cb0eab8
222,242714,242714,پاوه,242287,کرمانشاه,False,,,,,,SUPPRESSED,b86229e6-7715-261d-b203-56d48807c75f
223,242590,242590,سردشت,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,7e134eca-2a6d-e701-8be5-9a109f1c3318
224,242682,242682,کوهدشت,242284,لرستان‎,False,,,,,,SUPPRESSED,67e6fc10-a608-56b6-0d88-71aaaa46b356
225,242454,242454,بیله سوار,242299,اردبیل,False,,,,,,SUPPRESSED,0238f5b7-4323-3afc-294a-d2fa090c3f5a
226,242464,242464,خاش,242304,سیستان و بلوچستان,False,,,,,,SUPPRESSED,1913f849-0d48-0c36-c1f9-690b569bfdf0
227,242762,242762,گراش,242297,فارس,False,,,,,,SUPPRESSED,f85500c6-26f5-3342-224c-e61f249d6f76
228,242582,242582,سامان,242286,چهارمحال و بختیاری,False,,,,,,SUPPRESSED,7a65a63b-588d-233f-d0c6-2f8ca41495c8
229,242726,242726,نهبندان,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,1d9a75dc-efcb-0635-77e6-a770d4d72552
230,242407,242407,فامنین,242288,همدان,False,,,,,,SUPPRESSED,f16416f0-3beb-a7ff-6f6e-ec3fce266bd4
231,242409,242409,باغ ملک,242311,خوزستان,False,,,,,,SUPPRESSED,062dacd4-b28f-f539-a16e-ac55ae298fd7
232,242577,242577,زرند,242282,کرمان,False,,,,,,SUPPRESSED,cae973a0-f027-947f-c8c9-2c9ed4144ac9
233,242410,242410,بافت,242282,کرمان,False,,,,,,SUPPRESSED,0eb4e76b-37d9-ccbc-6584-69cbe02fef80
234,242773,242773,گیلانغرب,242287,کرمانشاه,False,,,,,,SUPPRESSED,70f711eb-75dc-fdbc-1b33-21d9e159b1b1
235,242718,242718,نجف آباد,242293,اصفهان,False,,,,,,SUPPRESSED,f2480d54-7adb-7347-7f31-30c490572669
236,242532,242532,دهاقان,242293,اصفهان,False,,,,,,SUPPRESSED,b28b145c-e133-bc5f-f6dc-36d4942089f9
237,242563,242563,رودبار,242290,گیلان,False,,,,,,SUPPRESSED,fcbd74ee-d330-f9f7-b8f3-03e2ae34e946
238,242612,242612,صحنه,242287,کرمانشاه,False,,,,,,SUPPRESSED,5b0184fe-b315-ad49-7429-dcb56612a0b8
239,242738,242738,هشترود,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,e8c823e2-d25e-e945-5522-ba18cb3905b5
240,242484,242484,قوچان,242302,خراسان رضوی,False,,,,,,SUPPRESSED,ecbb8bd8-16b8-3fe9-6b71-4f7ef861aef9
241,242733,242733,نیک شهر,242304,سیستان و بلوچستان,False,,,,,,SUPPRESSED,8263ff4d-9630-f7c7-e41b-3f149712f81b
242,242378,242378,ابرکوه,242309,یزد,False,,,,,,SUPPRESSED,54b8478b-974b-e790-5bef-614fe5ab0f43
243,242571,242571,سرایان,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,dfce29dd-32c2-08d1-4848-53bd44582ba4
244,242479,242479,قصر شیرین,242287,کرمانشاه,False,,,,,,SUPPRESSED,ca656b9d-a784-07c0-e76b-1812a73d019d
245,242490,242490,جوانرود,242287,کرمانشاه,False,,,,,,SUPPRESSED,9ae25a38-2a30-3604-bec9-a24da5f0c82a
246,242551,242551,رزن,242288,همدان,False,,,,,,SUPPRESSED,08f92e51-7356-d9cd-e442-9793d79807dd
247,242511,242511,لردگان,242286,چهارمحال و بختیاری,False,,,,,,SUPPRESSED,16aa7f8c-f524-5922-7435-915094561b08
248,242642,242642,فاروج,242281,خراسان شمالی,False,,,,,,SUPPRESSED,37065318-dd18-9031-dc01-0ad1ead717f6
249,242645,242645,فردوس,242303,خراسان جنوبی,True,,,,,,SUPPRESSED,7f88fcca-1254-a30e-7fd1-eef8d056b9f1
250,242446,242446,بوانات,242297,فارس,False,,,,,,SUPPRESSED,e12fc10a-6c8b-ee46-2fa3-dd9340f70883
251,242491,242491,خرامه,242297,فارس,False,,,,,,SUPPRESSED,5b8669a4-8d2c-7c38-8be8-b3b3c54738ee
252,242536,242536,دهگلان,242295,کردستان,False,,,,,,SUPPRESSED,802a9ea3-1366-071d-381c-0753c13a01a6
253,242624,242624,طبس,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,fb5001b3-ce62-0f19-4088-6cc943255443
254,242415,242415,بستک,242310,هرمزگان,False,,,,,,SUPPRESSED,f9e6eacd-c572-9661-4e63-9433ec488094
255,242781,242781,اصلاندوز,242299,اردبیل,False,,,,,,SUPPRESSED,f3bf5878-9819-678c-8b72-060afdcb6d92
256,242505,242505,خنج,242297,فارس,False,,,,,,SUPPRESSED,42c03fed-9b64-c6c2-6c8e-0974abdda5d9
257,242560,242560,روانسر,242287,کرمانشاه,False,,,,,,SUPPRESSED,b55983ce-e5bf-1bec-81e2-ceb91716d21b
258,242671,242671,کمیجان,242285,مرکزی,False,,,,,,SUPPRESSED,0b20ea06-21f2-2a4c-d435-2f9ca5dcc887
259,242674,242674,کهنوج,242282,کرمان,False,,,,,,SUPPRESSED,bbaea226-8ab5-c07e-bacb-2d291561bfc5
260,242392,242392,اشنویه,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,2d5a9b9b-a35d-fabe-14bb-6da70957a92b
261,242722,242722,پلدختر,242284,لرستان‎,False,,,,,,SUPPRESSED,07e5279b-f231-3b3b-6fe1-fb023460d780
262,242598,242598,سلطانیه,242291,زنجان,False,,,,,,SUPPRESSED,d56bb7c9-73d8-b44a-036b-e8ec4bdbff05
263,242489,242489,کاشمر,242302,خراسان رضوی,False,,,,,,SUPPRESSED,9cbc0b41-2791-db41-5a11-9ca095b2774a
264,242708,242708,مهریز,242309,یزد,False,,,,,,SUPPRESSED,42c531cd-ae00-b024-8fd9-f159dba592c3
265,242754,242754,بیضا,242297,فارس,False,,,,,,SUPPRESSED,4017cc6f-d01c-55f5-6be3-23bc59961535
266,242660,242660,کارون,242311,خوزستان,False,,,,,,SUPPRESSED,ae96e681-fe42-bfa1-3171-866994bba957
267,242462,242462,حمیدیه,242311,خوزستان,False,,,,,,SUPPRESSED,f06719a2-4263-78dc-6c6a-a04fd151f958
268,242429,242429,بشرویه,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,41ca4b03-c12d-73fb-2661-775ec8be7967
269,242723,242723,پلدشت,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,8f956d2f-7a49-d893-c39b-fdd02776a6a3
270,242698,242698,ملکان,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,6f3ce046-f9f5-90b9-76da-92c08a48db15
271,242412,242412,بافق,242309,یزد,False,,,,,,SUPPRESSED,3b652741-c315-96b3-2f05-4127f927dcff
272,242755,242755,چرام,242294,کهگیلویه و بویر احمد,False,,,,,,SUPPRESSED,dac3505d-3725-b88b-697d-9ad9c2fef951
273,242506,242506,خنداب,242285,مرکزی,False,,,,,,SUPPRESSED,f6a9b9e7-5bdf-7bf4-5fdb-bec2a0f19e60
274,242519,242519,درگز,242302,خراسان رضوی,False,,,,,,SUPPRESSED,091de22a-26b9-902b-f564-a6172bac614b
275,242632,242632,شوط,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,5cae8973-640c-81ca-cd35-95d05b4a9765
276,242543,242543,رامشیر,242311,خوزستان,False,,,,,,SUPPRESSED,2eaf10b3-c8d1-e057-9f77-39517fd747ef
277,242670,242670,کلیبر,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,c0f1d591-d8d0-78fc-4bd4-3861a0f7bc79
278,242672,242672,کنارک,242304,سیستان و بلوچستان,False,,,,,,SUPPRESSED,8824845e-2fbd-40d3-9d19-126aeaba7828
279,242759,242759,چناران,242302,خراسان رضوی,False,,,,,,SUPPRESSED,f879c371-fb62-d8d4-6ea0-3ade970d9a52
280,242587,242587,سربیشه,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,a5b9a7c4-6c76-9bba-6330-7ec9a3238fb1
281,242422,242422,بردسیر,242282,کرمان,False,,,,,,SUPPRESSED,31a73e55-1206-0cda-9ed5-51abb892f286
282,242677,242677,مراوه تپه,,,,,,,,,SUPPRESSED,24a4167c-71bb-964a-b8f9-1e64eb204cdd
283,242739,242739,هفتکل,242311,خوزستان,False,,,,,,SUPPRESSED,0465fe29-0c46-9ba8-393a-badbea442665
284,242753,242753,چایپاره,242296,آذربایجان غربی,False,,,,,,SUPPRESSED,48e2049f-bcf1-563d-e982-21cbded21333
285,242748,242748,پاسارگاد,242297,فارس,False,,,,,,SUPPRESSED,ae6e4cee-0987-ceeb-c766-73365a3cb81e
286,242688,242688,لنده,242294,کهگیلویه و بویر احمد,False,,,,,,SUPPRESSED,5b8af235-b9b0-835c-1939-5ec5512ad4dc
287,242460,242460,تربت حیدریه,242302,خراسان رضوی,False,,,,,,SUPPRESSED,b48e6fc1-acff-c066-bf49-41dfd30966ae
288,242375,242375,آوج,242289,قزوین,False,,,,,,SUPPRESSED,55d0eb0b-4780-240e-4672-4412be5614c7
289,242364,242364,اردل,242286,چهارمحال و بختیاری,False,,,,,,SUPPRESSED,c7e28f09-a382-6ac7-ce77-2ed7fbf4991d
290,242345,242345,ایوان,242283,ایلام,False,,,,,,SUPPRESSED,4212b4af-5d62-b1d2-169d-210d512e5c41
291,242346,242346,آبدانان,242283,ایلام,False,,,,,,SUPPRESSED,7eec2934-1216-9894-c6ab-8c16f783c1ee
292,242362,242362,اردستان,242293,اصفهان,False,,,,,,SUPPRESSED,e6fd8289-40c0-39df-262c-0312ee67a770
293,242347,242347,دهلران,242283,ایلام,False,,,,,,SUPPRESSED,52f78556-813a-ba87-b226-44d3ad5ddb64
294,242548,242548,راور,242282,کرمان,False,,,,,,SUPPRESSED,87d21c47-6432-b626-5731-cdeb060ff573
295,242644,242644,فراهان,242285,مرکزی,False,,,,,,SUPPRESSED,f88fd52e-59ec-c04d-481c-b2e54f317767
296,242774,242774,گچساران,242294,کهگیلویه و بویر احمد,False,,,,,,SUPPRESSED,58d06742-d5dc-5cd1-9ecc-d1b540177b3d
297,242349,242349,مهران,242283,ایلام,False,,,,,,SUPPRESSED,46ee21c7-718e-094f-f9ab-159f879f4d96
298,242709,242709,میامی,242292,سمنان,False,,,,,,SUPPRESSED,b4068409-b41c-395f-328b-a8d6135b94ed
299,242372,242372,آغاجاری,242311,خوزستان,False,,,,,,SUPPRESSED,9109dd0a-9f7d-d754-53a8-2e966d8827ac
300,242366,242366,ارزوئیه,242282,کرمان,False,,,,,,SUPPRESSED,76b59a66-e314-4b2c-15ec-7c695f667234
301,242391,242391,اشکذر,242309,یزد,False,,,,,,SUPPRESSED,84e68416-7006-0376-5c54-2982a48f3810
302,242376,242376,انار,242282,کرمان,False,,,,,,SUPPRESSED,54b21c2e-e5cf-fd1b-e87d-46c7e06b92f7
303,242421,242421,بردسکن,242302,خراسان رضوی,False,,,,,,SUPPRESSED,23c15ae7-2269-bb87-e9a9-540e038a5839
304,242442,242442,بهمئی,242294,کهگیلویه و بویر احمد,False,,,,,,SUPPRESSED,c343c352-3be7-9095-eb42-4c993506c855
305,242444,242444,بوئین و میاندشت,,,,,,,,,SUPPRESSED,804cec68-e0dd-cf71-c596-f55052c70ada
306,242455,242455,بینالود,242302,خراسان رضوی,True,,,,,,SUPPRESSED,e841189a-17e3-3150-8f7c-2163031ebf6d
307,242425,242425,تایباد,242302,خراسان رضوی,False,,,,,,SUPPRESSED,41108e49-ed1d-aba5-eb96-f8738857bd6b
308,242432,242432,تفت,242309,یزد,False,,,,,,SUPPRESSED,576e680b-e62c-7d74-f45f-a86e116c0744
309,242486,242486,جغتای,242302,خراسان رضوی,False,,,,,,SUPPRESSED,e8922248-0d1b-5ccf-a7f0-8852501a234f
310,242749,242749,چادگان,242293,اصفهان,False,,,,,,SUPPRESSED,f316689e-80dc-7848-d045-c15af8b069f9
311,242507,242507,خواف,242302,خراسان رضوی,False,,,,,,SUPPRESSED,984dfb50-1314-c02f-af95-c01c0f2dc4b5
312,242512,242512,خوسف,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,0fb6962d-61e2-9b83-bd3a-2d859f142cc4
313,242348,242348,دره‌شهر,,,,,,,,,SUPPRESSED,0eab44e7-1d00-99f8-a44c-35542f7881d6
314,242549,242549,رابر,242282,کرمان,False,,,,,,SUPPRESSED,57369ba1-a4c9-eb8e-f5f7-7dd83e8187ae
315,242614,242614,سیریک,242310,هرمزگان,False,,,,,,SUPPRESSED,07773c5c-e5b1-5695-8ffc-2df5ac6bb682
316,242650,242650,فریمان,242302,خراسان رضوی,False,,,,,,SUPPRESSED,0faa300a-140a-85be-2aaf-32657c03eee0
317,242656,242656,فیروزه,242302,خراسان رضوی,False,,,,,,SUPPRESSED,b11edea4-c049-5431-8ab6-f8502528dac3
318,242681,242681,کوهبنان,242282,کرمان,False,,,,,,SUPPRESSED,623ffd75-d0e9-093a-92ea-517bba5da914
319,242716,242716,میرجاوه,242304,سیستان و بلوچستان,False,,,,,,SUPPRESSED,0861e42e-2a09-8436-f546-5203373ff7e5
320,242777,242777,هوراند,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,a1bd22f4-42c7-e2bf-e58f-d598c8bf48f5
321,242365,242365,آران و بیدگل,,,,,,,,,SUPPRESSED,c52c791f-7927-ee0c-d350-0572ee960163
322,242359,242359,ابوموسی,242310,هرمزگان,False,,,,,,SUPPRESSED,7b50fe9b-3cc9-588f-9c43-fef09686e4ca
323,242386,242386,اسدآباد,242288,همدان,False,,,,,,SUPPRESSED,23e2b02e-6f74-8409-4454-04d95c876da8
324,242377,242377,اندیکا,242311,خوزستان,False,,,,,,SUPPRESSED,347e1294-5b33-e495-42b1-2deaee1de8dc
325,242399,242399,ایجرود,242291,زنجان,False,,,,,,SUPPRESSED,a3548c40-81d5-7354-11fe-507f79ebe2a4
326,242405,242405,باخرز,242302,خراسان رضوی,False,,,,,,SUPPRESSED,c945b878-d75a-9756-475b-36c150c3243c
